จังหวัด,เขตเลือกตั้ง,no,ocrName,newname,พรรคการเมือง,score
กระบี่,1,18,นายสาคร เกี่ยวของ,นายสาคร เกี่ยวข้อง,ประชาธิปัตย์,44346
กระบี่,1,2,นายแสงชัย วสุนธรา,นายแสงชัย วสุนธรา,พลังประชารัฐ,30381
กระบี่,1,15,นายยุทธนา อ่าวลึกนอย,นายยุทธนา อ่าวลึกน้อย,อนาคตใหม่,17783
กระบี่,1,16,นายทวีเกียรติ ใจดี,นายทวีเกียรติ ใจดี,ประชาชาติ,8484
กระบี่,1,10,ว่าที่ พ.ต.กิตติศักดิกิตติสิทโธ,ว่าที่ พ.ต.กิตติศักดิ์ กิตติสิทโธ,ภูมิใจไทย,4784
กระบี่,1,5,นายวศ้น สิริเกียรติกุล,นายวศิน สิริเกียรติกุล,เสรีรวมไทย,3474
กระบี่,1,11,นายจักรพรรติ สุคนธกนิษฐ,นายจักรพรรดิ สุคนธกนิษฐ,รวมพลังประชาชาติไทย,2032
กระบี่,1,8,นางวิชญาดา บุญฤทธิ๋,นางวิชญาดา บุญฤทธิ์,แทนคุณแผ่นดิน,1986
กระบี่,1,24,นางสาววรฤทัย ชัยภักดี,นางสาววรฤทัย ชัยภักดี,เศรษฐกิจใหม่,1596
กระบี่,1,7,นายไชยา ดำดี,นายไชยา ดำดี,ชาติไทยพัฒนา,1128
กระบี่,1,17,นายไพบูลย์ เกกินะ,นายไพบูลย์ เกกินะ,เพื่อชาติ,942
กระบี่,1,25,นายมนตรี ขวัญเดือน,นายมนตรี ขวัญเดือน,กรีน,714
กระบี่,1,4,นายสมติด แซ่ฮ่อ,นายสมคิด แซ่ฮ่อ,ประชาธิปไตยใหม่,672
กระบี่,1,22,นายธนพัฒน์ บุญญาธิการ,นายธนพัฒน์ บุญญาธิการ,พลังไทยรักไทย,634
กระบี่,1,1,นายวรวงค์ ระฆังทอง,นายวรวงค์ ระฆังทอง,ประชาภิวัฒน์,623
กระบี่,1,28,นายสมติด สมทรง,นายสมคิด สมทรง,พลังสังคม,572
กระบี่,1,19,นายสมใจ นวลนุ่น,นายสมใจ นวลนุ่น,รักษ์ผืนป่าประเทศไทย,455
กระบี่,1,30,นางสาวอษา สายเส็น,นางสาวอุษา สายเส็น,ความหวังใหม่,452
กระบี่,1,14,นางวาสนา แซ่ฉว,นางวาสนา แซ่ฉั่ว,พลังชาติไทย,424
กระบี่,1,29,นายตรีภพ เพ่งกิจ,นายตรีภพ เพ่งกิจ,ภราดรภาพ,415
กระบี่,1,21,นายพิทักษ์ ภารา,นายพิทักษ์ ภารา,ถิ่นกาขาวชาววิไล,401
กระบี่,1,26,นายเลิศสักดิ๋ ละมุลสุข,นายเลิศศักดิ์ ละมุลสุข,พลังไทยรักชาติ,389
