province,district,one_aye,one_aye100,one_nay,one_nay100,two_aye,two_aye100,two_nay,two_nay100
กรุงเทพมหานคร,คลองเตย,23475,70.28,9928,29.72,22171,67.13,10858,32.87
กรุงเทพมหานคร,คลองสาน,20990,72.54,7947,27.46,19660,68.63,8987,31.37
กรุงเทพมหานคร,คลองสามวา,50073,68.6,22921,31.4,46745,65.17,24983,34.83
กรุงเทพมหานคร,คันนายาว,24863,67.59,11923,32.41,23380,64.36,12948,35.64
กรุงเทพมหานคร,จตุจักร,47170,69.12,21075,30.88,44166,65.27,23505,34.73
กรุงเทพมหานคร,จอมทอง,39560,70.55,16517,29.45,36933,66.8,18356,33.2
กรุงเทพมหานคร,ดอนเมือง,45301,66.12,23209,33.88,42019,62.33,25395,37.67
กรุงเทพมหานคร,ดินแดง,33079,66.93,16342,33.07,31136,63.62,17808,36.38
กรุงเทพมหานคร,ดุสิต,25371,68.05,11914,31.95,23588,64.16,13177,35.84
กรุงเทพมหานคร,ตลิ่งชัน,31166,69.25,13842,30.75,29090,65.43,15369,34.57
กรุงเทพมหานคร,ทวีวัฒนา,25184,69.78,10904,30.22,23547,66.06,12097,33.94
กรุงเทพมหานคร,ทุ่งครุ,32161,71.63,12738,28.37,29681,67.7,14163,32.3
กรุงเทพมหานคร,ธนบุรี,29475,70.93,12080,29.07,27708,67.34,13439,32.66
กรุงเทพมหานคร,บางกอกน้อย,30484,69.75,13220,30.25,28197,66.4,14269,33.6
กรุงเทพมหานคร,บางกอกใหญ่,19165,69.3,8489,30.7,18029,65.85,9349,34.15
กรุงเทพมหานคร,บางกะปิ,40853,70.77,16871,29.23,38544,67.29,18738,32.71
กรุงเทพมหานคร,บางขุนเทียน,44598,68.44,20564,31.56,41547,64.73,22640,35.27
กรุงเทพมหานคร,บางเขน,55466,67.95,26162,32.05,51974,64.46,28661,35.54
กรุงเทพมหานคร,บางคอแหลม,25059,74.85,8418,25.15,23394,71.12,9502,28.88
กรุงเทพมหานคร,บางแค,53743,70.03,22998,29.97,50364,66.37,25522,33.63
กรุงเทพมหานคร,บางซื่อ,33688,66.85,16702,33.15,31455,63.05,18433,36.95
กรุงเทพมหานคร,บางนา,25550,71.53,10169,28.47,23968,67.84,11362,32.16
กรุงเทพมหานคร,บางบอน,27586,68.98,12406,31.02,25836,65.44,13647,34.56
กรุงเทพมหานคร,บางพลัด,27472,68.55,12601,31.45,25726,64.93,13894,35.07
กรุงเทพมหานคร,บางรัก,13114,75.99,4143,24.01,12459,72.52,4720,27.48
กรุงเทพมหานคร,บึงกุ่ม,41654,68.98,18728,31.02,39118,65.48,20618,34.52
กรุงเทพมหานคร,ปทุมวัน,12563,71.07,5113,28.93,11742,66.91,5806,33.09
กรุงเทพมหานคร,ประเวศ,43642,70.22,18504,29.78,41044,66.59,20589,33.41
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,13661,74.52,4671,25.48,13020,70.98,5323,29.02
กรุงเทพมหานคร,พญาไท,23324,70.81,9617,29.19,21797,66.93,10771,33.07
กรุงเทพมหานคร,พระโขนง,26209,71.22,10592,28.78,24435,67.66,11682,32.34
กรุงเทพมหานคร,พระนคร,15244,70.83,6279,29.17,14312,67.14,7006,32.86
กรุงเทพมหานคร,ภาษีเจริญ,34689,69.0,15586,31.0,32547,65.5,17142,34.5
กรุงเทพมหานคร,มีนบุรี,36835,69.41,16230,30.59,34565,66.23,17628,33.77
กรุงเทพมหานคร,ยานนาวา,23099,75.03,7687,24.97,21670,71.13,8797,28.87
กรุงเทพมหานคร,ราชเทวี,17157,70.52,7172,29.48,16070,66.66,8039,33.34
กรุงเทพมหานคร,ลาดพร้าว,35897,68.5,16505,31.5,33573,64.78,18251,35.22
กรุงเทพมหานคร,วังทองหลาง,30710,69.24,13640,30.76,28924,65.75,15068,34.25
กรุงเทพมหานคร,วัฒนา,20010,76.08,6290,23.92,18781,72.04,7291,27.96
กรุงเทพมหานคร,สวนหลวง,34279,73.65,12266,26.35,32416,70.32,13682,29.68
กรุงเทพมหานคร,สะพานสูง,28576,71.69,11283,28.31,26924,68.31,12493,31.69
กรุงเทพมหานคร,สัมพันธวงศ์,8282,77.08,2462,22.92,7753,72.7,2912,27.3
กรุงเทพมหานคร,สาทร,24049,75.25,7908,24.75,22763,72.14,8789,27.86
กรุงเทพมหานคร,สายไหม,48329,63.62,27631,36.38,44833,59.81,30124,40.19
กรุงเทพมหานคร,หนองแขม,40249,67.22,19625,32.78,37261,63.34,21562,36.66
กรุงเทพมหานคร,หนองจอก,40306,68.21,18789,31.79,37628,65.23,20053,34.77
กรุงเทพมหานคร,หลักสี่,31230,66.03,16070,33.97,29354,62.76,17416,37.24
กรุงเทพมหานคร,ห้วยขวาง,21996,68.85,9952,31.15,20590,65.29,10945,34.71
กรุงเทพมหานคร,นอกเขต,46661,62.91,27510,37.09,42313,57.57,31191,42.43
กระบี่,เกาะลันตา,10479,74.94,3505,25.06,9669,71.38,3877,28.62
กระบี่,เขาพนม,20427,89.22,2469,10.78,19321,86.39,3044,13.61
กระบี่,คลองท่อม,25452,80.67,6099,19.33,23537,77.29,6915,22.71
กระบี่,ปลายพระยา,15413,90.53,1613,9.47,14645,88.3,1941,11.7
กระบี่,เมืองกระบี่,38029,84.22,7127,15.78,36133,81.49,8208,18.51
กระบี่,ลี้,9919,89.68,1142,10.32,9295,86.2,1488,13.8
กระบี่,เหนือคลอง,22142,81.04,5180,18.96,20763,78.61,5651,21.39
กระบี่,อ่าวลึก,19088,84.39,3530,15.61,17844,81.8,3970,18.2
กระบี่,นอกเขต,571,82.4,122,17.6,518,77.89,147,22.11
กาญจนบุรี,ด่านมะขามเตี้ย,8904,68.75,4047,31.25,7969,64.88,4314,35.12
กาญจนบุรี,ทองผาภูมิ,10199,70.2,4330,29.8,8984,66.1,4607,33.9
กาญจนบุรี,ท่าม่วง,33420,70.44,14025,29.56,30145,66.38,15266,33.62
กาญจนบุรี,ท่ามะกา,39967,68.98,17971,31.02,35997,65.85,18668,34.15
กาญจนบุรี,ไทรโยค,13236,70.7,5486,29.3,11896,66.62,5961,33.38
กาญจนบุรี,บ่อพลอย,14929,68.12,6987,31.88,13345,64.41,7374,35.59
กาญจนบุรี,พนมทวน,15481,63.19,9018,36.81,13656,58.95,9508,41.05
กาญจนบุรี,เมืองกาญจนบุรี,48946,73.67,17492,26.33,44786,69.85,19330,30.15
กาญจนบุรี,เลาขวัญ,12843,55.82,10164,44.18,11105,52.24,10151,47.76
กาญจนบุรี,สวี,7045,73.7,2514,26.3,6403,70.53,2675,29.47
กาญจนบุรี,สังขละบุรี,5007,72.19,1929,27.81,4491,68.6,2056,31.4
กาญจนบุรี,หนองปรือ,7214,64.27,4011,35.73,6357,60.75,4108,39.25
กาญจนบุรี,ห้วยกระเจา,8801,64.12,4924,35.88,7591,59.27,5216,40.73
กาญจนบุรี,นอกเขต,833,68.11,390,31.89,771,63.2,449,36.8
กาฬสินธุ์,กมลาไสย,9767,32.38,20397,67.62,8263,29.11,20120,70.89
กาฬสินธุ์,เขาวง,6563,42.8,8770,57.2,5460,38.23,8823,61.77
กาฬสินธุ์,คำม่วง,9798,48.29,10494,51.71,7885,41.52,11105,58.48
กาฬสินธุ์,ฆ้องชัย,3592,30.94,8017,69.06,2981,27.24,7963,72.76
กาฬสินธุ์,ดอนจาน,4965,46.22,5776,53.78,4029,41.06,5783,58.94
กาฬสินธุ์,ท่าคันโท,6941,47.0,7826,53.0,5843,43.6,7557,56.4
กาฬสินธุ์,นาคู,5549,41.51,7820,58.49,4671,37.72,7712,62.28
กาฬสินธุ์,นามน,5630,42.08,7750,57.92,5063,39.86,7640,60.14
กาฬสินธุ์,เมืองกาฬสินธุ์,29677,48.52,31483,51.48,25320,44.62,31430,55.38
กาฬสินธุ์,ยางตลาด,20715,40.85,29996,59.15,17670,37.51,29432,62.49
กาฬสินธุ์,เมืองกาญจนบุรี,2314,33.67,4558,66.33,1958,30.38,4488,69.62
กาฬสินธุ์,สมเด็จ,13025,52.36,11852,47.64,10877,47.56,11993,52.44
กาฬสินธุ์,สหัสขันธ์,8103,48.73,8525,51.27,6857,43.61,8867,56.39
กาฬสินธุ์,สามชัย,5685,50.69,5531,49.31,4773,45.14,5801,54.86
กาฬสินธุ์,หนองกุงศรี,14748,56.33,11432,43.67,12531,51.63,11742,48.37
กาฬสินธุ์,ห้วยผึ้ง,4810,42.51,6504,57.49,4079,39.01,6377,60.99
กาฬสินธุ์,ห้วยเม็ก,9888,47.8,10800,52.2,8205,43.02,10866,56.98
กาฬสินธุ์,นอกเขต,255,66.23,130,33.77,217,57.11,163,42.89
กำแพงเพชร,โกสัมพีนคร,9232,78.93,2464,21.07,8316,75.94,2635,24.06
กำแพงเพชร,ขาณุวรลักษบุรี,31469,72.24,12092,27.76,28397,68.98,12768,31.02
กำแพงเพชร,คลองขลุง,19183,65.18,10249,34.82,17083,60.99,10928,39.01
กำแพงเพชร,คลองลาน,16332,69.84,7052,30.16,14280,66.59,7164,33.41
กำแพงเพชร,ทรายทองวัฒนา,5342,57.47,3953,42.53,4638,53.54,4025,46.46
กำแพงเพชร,ไทรงาม,12714,61.66,7907,38.34,11200,58.0,8110,42.0
กำแพงเพชร,บึงสามัคคี,6363,57.88,4630,42.12,5501,53.21,4838,46.79
กำแพงเพชร,ปางศิลาทอง,8166,69.53,3578,30.47,7126,64.95,3846,35.05
กำแพงเพชร,พรานกระต่าย,26483,79.85,6683,20.15,23555,75.48,7651,24.52
กำแพงเพชร,เมืองกำแพงเพชร,68199,75.65,21949,24.35,61606,72.58,23278,27.42
กำแพงเพชร,ลานกระบือ,13675,74.89,4584,25.11,12008,70.87,4935,29.13
กำแพงเพชร,นอกเขต,768,78.29,213,21.71,690,70.62,287,29.38
ขอนแก่น,กระนวน,13454,43.79,17272,56.21,11464,39.97,17216,60.03
ขอนแก่น,เขาสวนกวาง,6333,41.89,8785,58.11,5323,38.41,8537,61.59
ขอนแก่น,โคกโพธิ์ไชย,3304,33.35,6604,66.65,2804,30.47,6399,69.53
ขอนแก่น,ชนบท,7756,42.58,10460,57.42,6740,39.76,10211,60.24
ขอนแก่น,บ้านแฮด,5374,38.68,8519,61.32,4598,35.56,8332,64.44
ขอนแก่น,เปือยน้อย,2658,36.74,4577,63.26,2240,33.92,4363,66.08
ขอนแก่น,พระยืน,5898,40.32,8731,59.68,5239,38.41,8400,61.59
ขอนแก่น,พล,13676,42.35,18613,57.65,11981,39.6,18277,60.4
ขอนแก่น,ภูผาม่าน,3983,43.3,5216,56.7,3345,39.58,5107,60.42
ขอนแก่น,ลาดกระบัง,12183,42.53,16461,57.47,10300,38.47,16477,61.53
ขอนแก่น,มัญจาคีรี,12951,45.31,15630,54.69,11344,41.98,15681,58.02
ขอนแก่น,เมืองขอนแก่น,100060,53.41,87299,46.59,90252,50.1,89882,49.9
ขอนแก่น,สิเกา,3372,42.97,4476,57.03,2842,39.46,4360,60.54
ขอนแก่น,แวงน้อย,5524,35.18,10176,64.82,4661,31.55,10113,68.45
ขอนแก่น,แวงใหญ่,3834,35.38,7002,64.62,3324,32.61,6869,67.39
ขอนแก่น,สีชมพู,10271,38.48,16421,61.52,8824,35.71,15885,64.29
ขอนแก่น,นาคู,3888,42.7,5217,57.3,3375,39.31,5210,60.69
ขอนแก่น,หนองเรือ,15743,41.12,22540,58.88,13393,37.61,22215,62.39
ขอนแก่น,หนองสองห้อง,11456,39.53,17528,60.47,9956,36.42,17382,63.58
