province,district,one_aye,one_aye100,one_nay,one_nay100,two_aye,two_aye100,two_nay,two_nay100
กรุงเทพมหานคร,ผลรวม,"1,585,533",69.22,"705,195",30.78,"1,482,723",65.57,"778,724",34.43
กระบี่,ผลรวม,"161,520",83.99,"30,787",16.01,"151,725",81.15,"35,241",18.85
กาญจนบุรี,ผลรวม,"226,825",68.71,"103,288",31.29,"203,496",64.98,"109,683",35.02
กาฬสินธุ์,ผลรวม,"180,465",45.03,"220,317",54.97,"152,047",40.81,"220,501",59.19
กำแพงเพชร,ผลรวม,"217,926",71.86,"85,354",28.14,"194,400",68.24,"90,465",31.76
ขอนแก่น,ผลรวม,"333,807",44.91,"409,453",55.09,"291,657",41.74,"407,011",58.26
จันทบุรี,ผลรวม,"176,029",74.74,"59,485",25.26,"161,171",71.42,"64,492",28.58
ฉะเชิงเทรา,ผลรวม,"204,136",68.79,"92,616",31.21,"185,922",65.85,"96,441",34.15
ชลบุรี,ผลรวม,"430,361",76.45,"132,554",23.55,"401,957",73.46,"145,215",26.54
ชัยนาท,ผลรวม,"93,967",64.05,"52,738",35.95,"82,999",60.55,"54,078",39.45
ชัยภูมิ,ผลรวม,"204,055",45.63,"243,144",54.37,"174,994",42.29,"238,826",57.71
ชุมพร,ผลรวม,"208,068",90.04,"23,004",9.96,"196,293",87.51,"28,023",12.49
เชียงราย,ผลรวม,"249,684",45.02,"304,976",54.98,"211,333",41.08,"303,066",58.92
เชียงใหม่,ผลรวม,"390,046",45.92,"459,399",54.08,"340,577",42.63,"458,384",57.37
ตรัง,ผลรวม,"250,644",86.19,"40,170",13.81,"233,949",83.54,"46,080",16.46
ตราด,ผลรวม,"72,469",79.41,"18,790",20.59,"66,245",75.73,"21,229",24.27
ตาก,ผลรวม,"160,674",72.69,"60,377",27.31,"142,085",69.37,"62,732",30.63
นครนายก,ผลรวม,"76,566",70.63,"31,839",29.37,"68,835",67.42,"33,271",32.58
นครปฐม,ผลรวม,"271,394",68.64,"124,018",31.36,"248,400",65.4,"131,410",34.6
นครพนม,ผลรวม,"139,497",47.23,"155,830",52.77,"114,920",41.96,"158,949",58.04
นครราชสีมา,ผลรวม,"730,985",64.39,"404,261",35.61,"649,052",60.78,"418,789",39.22
นครศรีธรรมราช,ผลรวม,"559,689",88.05,"75,927",11.95,"526,123",85.93,"86,158",14.07
นครสวรรค์,ผลรวม,"289,393",67.01,"142,471",32.99,"258,564",63.68,"147,482",36.32
นนทบุรี,ผลรวม,"343,771",67.37,"166,490",32.63,"318,607",63.8,"180,797",36.2
นราธิวาส,ผลรวม,"109,348",36.04,"194,020",63.96,"103,969",35.38,"189,858",64.62
น่าน,ผลรวม,"122,142",52.83,"109,057",47.17,"104,028",48.32,"111,282",51.68
กาฬสินธุ์,ผลรวม,"65,852",39.55,"100,670",60.45,"55,046",35.26,"101,070",64.74
บุรีรัมย์,ผลรวม,"365,041",60.22,"241,101",39.78,"317,347",56.29,"246,433",43.71
ปทุมธานี,ผลรวม,"278,265",62.93,"163,918",37.07,"256,930",59.61,"174,086",40.39
ประจวบคีรีขันธ์,ผลรวม,"186,361",82.93,"38,355",17.07,"174,575",80.18,"43,141",19.82
ปราจีนบุรี,ผลรวม,"148,567",69.01,"66,701",30.99,"133,652",65.72,"69,701",34.28
ปัตตานี,ผลรวม,"89,952",35.02,"166,900",64.98,"85,976",34.33,"164,449",65.67
พระนครศรีอยุธยา,ผลรวม,"216,278",60.57,"140,804",39.43,"195,627",57.4,"145,178",42.6
พะเยา,ผลรวม,"109,408",47.15,"122,649",52.85,"93,651",43.63,"121,001",56.37
พังงา,ผลรวม,"97,952",84.23,"18,344",15.77,"91,886",81.43,"20,952",18.57
พัทลุง,ผลรวม,"213,900",84.55,"39,087",15.45,"199,195",81.38,"45,591",18.62
พิจิตร,ผลรวม,"141,330",65.33,"75,000",34.67,"124,335",61.61,"77,490",38.39
พิษณุโลก,ผลรวม,"265,136",68.96,"119,348",31.04,"238,207",65.02,"128,156",34.98
เพชรบุรี,ผลรวม,"180,531",80.12,"44,803",19.88,"166,701",77.2,"49,245",22.8
เพชรบูรณ์,ผลรวม,"286,163",69.2,"127,342",30.8,"252,771",65.7,"131,981",34.3
แพร่,ผลรวม,"102,745",46.21,"119,594",53.79,"87,944",42.71,"117,973",57.29
ภูเก็ต,ผลรวม,"125,643",88.03,"17,081",11.97,"118,969",85.59,"20,022",14.41
