จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
กรุงเทพมหานคร,คลองเตย,"23,475",70.28,"9,928",29.72,"22,171",67.13,"10,858",32.87
คลองสาน,"20,990",72.54,"7,947",27.46,"19,660",68.63,"8,987",31.37,
คลองสามวา,"50,073",68.6,"22,921",31.4,"46,745",65.17,"24,983",34.83,
คันนายาว,"24,863",67.59,"11,923",32.41,"23,380",64.36,"12,948",35.64,
จตุจกร,"47,170",69.12,"21,075",30.88,"44,166",65.27,"23,505",34.73,
จอมทอง,"39,560",70.55,"16,517",29.45,"36,933",66.8,"18,356",33.2,
ดอนเมอง,"45,301",66.12,"23,209",33.88,"42,019",62.33,"25,395",37.67,
ดินแดง,"33,079",66.93,"16,342",33.07,"31,136",63.62,"17,808",36.38,
ดุสิต,"25,371",68.05,"11,914",31.95,"23,588",64.16,"13,177",35.84,
ตล่ิงชน,"31,166",69.25,"13,842",30.75,"29,090",65.43,"15,369",34.57,
ทววีฒันา,"25,184",69.78,"10,904",30.22,"23,547",66.06,"12,097",33.94,
ทง่ครุ,"32,161",71.63,"12,738",28.37,"29,681",67.7,"14,163",32.3,
ธนบรี,"29,475",70.93,"12,080",29.07,"27,708",67.34,"13,439",32.66,
บางกอกนอย,"30,484",69.75,"13,220",30.25,"28,197",66.4,"14,269",33.6,
บางกอกใหญ,"19,165",69.3,"8,489",30.7,"18,029",65.85,"9,349",34.15,
บางกะป,"40,853",70.77,"16,871",29.23,"38,544",67.29,"18,738",32.71,
บางขนเทยน,"44,598",68.44,"20,564",31.56,"41,547",64.73,"22,640",35.27,
บางเขน,"55,466",67.95,"26,162",32.05,"51,974",64.46,"28,661",35.54,
บางคอแหลม,"25,059",74.85,"8,418",25.15,"23,394",71.12,"9,502",28.88,
บางแค,"53,743",70.03,"22,998",29.97,"50,364",66.37,"25,522",33.63,
บางซ่ือ,"33,688",66.85,"16,702",33.15,"31,455",63.05,"18,433",36.95,
บางนา,"25,550",71.53,"10,169",28.47,"23,968",67.84,"11,362",32.16,
บางบอน,"27,586",68.98,"12,406",31.02,"25,836",65.44,"13,647",34.56,
บางพลัด,"27,472",68.55,"12,601",31.45,"25,726",64.93,"13,894",35.07,
บางรัก,"13,114",75.99,"4,143",24.01,"12,459",72.52,"4,720",27.48,
บงกม,"41,654",68.98,"18,728",31.02,"39,118",65.48,"20,618",34.52,
ปทมวนั,"12,563",71.07,"5,113",28.93,"11,742",66.91,"5,806",33.09,
ประเวศ,"43,642",70.22,"18,504",29.78,"41,044",66.59,"20,589",33.41,
ปอมปราบศัตรูพาย,"13,661",74.52,"4,671",25.48,"13,020",70.98,"5,323",29.02,
พญาไท,"23,324",70.81,"9,617",29.19,"21,797",66.93,"10,771",33.07,
พระโขนง,"26,209",71.22,"10,592",28.78,"24,435",67.66,"11,682",32.34,
พระนคร,"15,244",70.83,"6,279",29.17,"14,312",67.14,"7,006",32.86,
